household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers,building_category,unittype,poverty,sample_rate,income_in_thousands,income_segment,num_non_workers,num_drivers,num_adults,num_children,num_nonworker_adults,ebike_owner,av_ownership,workplace_location_accessibility,shopping_accessibility,othdiscr_accessibility,numAVowned,transponder_ownership,has_joint_tour,num_under16_not_at_school,num_travel_active,num_travel_active_adults,num_travel_active_preschoolers,num_travel_active_children,num_travel_active_non_preschoolers,participates_in_jtf_model,school_escorting_outbound,school_escorting_inbound,school_escorting_outbound_cond,auPkRetail,auPkTotal,auOpRetail,auOpTotal,trPkRetail,trPkTotal,trPkHH,trOpRetail,trOpTotal,nmRetail,nmTotal,mgra,microtransit,nev,TAZ,micro_dist_local_bus,micro_dist_premium_transit,joint_tour_frequency_composition,num_hh_joint_tours
1,57,98696.0,3.0,3,3,2,6,0,4.544014732965009,1.0,98.696,3,1.0,3,3,0,1,False,False,11.855539508062032,11.210295998705057,15.793890642208149,0.0,False,0,0,3,3,0,0,3,False,1,1,1,8.585688738796083,11.066297441023801,9.238646996092996,11.787542250353617,11.10491573620014,13.76728913424871,12.980152571423028,1.5728399677784222,4.372219791126101,4.99830369526765,7.773912075843707,57,0.0,10.0,46,0.137,0.656,0.0,0
2,57,231224.0,1.0,4,1,1,2,0,18.12100313479624,1.0,231.224,4,0.0,1,1,0,0,False,False,11.88278816002149,11.276809941532681,15.367552278760906,0.0,True,0,0,1,1,0,0,1,False,1,1,1,8.585688738796083,11.066297441023801,9.238646996092996,11.787542250353617,11.10491573620014,13.76728913424871,12.980152571423028,1.5728399677784222,4.372219791126101,4.99830369526765,7.773912075843707,57,0.0,10.0,46,0.137,0.656,0.0,0
3,57,145427.0,3.0,1,2,1,2,0,6.695534069981584,1.0,145.427,4,2.0,3,3,0,1,False,False,11.851754800083855,11.176275835576819,15.964681207584507,0.0,False,0,0,3,3,0,0,3,False,1,1,1,8.585688738796083,11.066297441023801,9.238646996092996,11.787542250353617,11.10491573620014,13.76728913424871,12.980152571423028,1.5728399677784222,4.372219791126101,4.99830369526765,7.773912075843707,57,0.0,10.0,46,0.137,0.656,0.0,0
4,57,35292.0,1.0,4,1,0,2,0,2.7658307210031348,1.0,35.292,2,1.0,1,1,0,1,False,False,11.635435166581825,11.279472962639518,15.92138197685257,0.0,False,0,0,1,1,0,0,1,False,1,1,1,8.585688738796083,11.066297441023801,9.238646996092996,11.787542250353617,11.10491573620014,13.76728913424871,12.980152571423028,1.5728399677784222,4.372219791126101,4.99830369526765,7.773912075843707,57,0.0,10.0,46,0.137,0.656,0.0,0
5,57,122670.0,7.0,1,4,1,2,0,3.0946014127144297,1.0,122.67,4,6.0,3,3,4,2,False,False,11.851754800083855,11.176275835576819,15.964681207584507,0.0,False,0,1,6,3,2,3,4,False,120,86,115,8.585688738796083,11.066297441023801,9.238646996092996,11.787542250353617,11.10491573620014,13.76728913424871,12.980152571423028,1.5728399677784222,4.372219791126101,4.99830369526765,7.773912075843707,57,0.0,10.0,46,0.137,0.656,0.0,0
6,57,165872.0,2.0,1,2,0,2,0,9.621345707656612,1.0,165.872,4,2.0,2,2,0,2,False,False,11.851754800083855,11.176275835576819,15.964681207584507,0.0,True,0,0,2,2,0,0,2,False,1,1,1,8.585688738796083,11.066297441023801,9.238646996092996,11.787542250353617,11.10491573620014,13.76728913424871,12.980152571423028,1.5728399677784222,4.372219791126101,4.99830369526765,7.773912075843707,57,0.0,10.0,46,0.137,0.656,0.0,0
7,57,121697.0,3.0,2,3,1,2,0,5.602992633517496,1.0,121.697,4,2.0,3,3,0,1,False,False,11.851754800083855,11.176275835576819,15.964681207584507,0.0,True,0,0,1,1,0,0,1,False,1,1,1,8.585688738796083,11.066297441023801,9.238646996092996,11.787542250353617,11.10491573620014,13.76728913424871,12.980152571423028,1.5728399677784222,4.372219791126101,4.99830369526765,7.773912075843707,57,0.0,10.0,46,0.137,0.656,0.0,0
8,57,51213.0,8.0,1,2,2,7,0,1.160766092475068,1.0,51.213,2,6.0,3,3,5,1,False,False,11.682257152566168,11.103600648506891,16.242483029766973,0.0,False,0,2,5,2,0,3,5,False,1,1,1,8.585688738796083,11.066297441023801,9.238646996092996,11.787542250353617,11.10491573620014,13.76728913424871,12.980152571423028,1.5728399677784222,4.372219791126101,4.99830369526765,7.773912075843707,57,0.0,10.0,46,0.137,0.656,0.0,0
9,57,223687.0,2.0,1,2,1,2,0,12.974883990719258,1.0,223.687,4,1.0,2,2,0,1,False,False,11.851754800083855,11.176275835576819,15.964681207584507,0.0,False,0,0,2,2,0,0,2,False,1,1,1,8.585688738796083,11.066297441023801,9.238646996092996,11.787542250353617,11.10491573620014,13.76728913424871,12.980152571423028,1.5728399677784222,4.372219791126101,4.99830369526765,7.773912075843707,57,0.0,10.0,46,0.137,0.656,0.0,0
10,57,298458.0,3.0,1,2,1,2,0,13.741160220994477,1.0,298.458,4,2.0,3,3,0,2,False,False,11.851754800083855,11.176275835576819,15.964681207584507,0.0,False,0,0,2,2,0,0,2,False,1,1,1,8.585688738796083,11.066297441023801,9.238646996092996,11.787542250353617,11.10491573620014,13.76728913424871,12.980152571423028,1.5728399677784222,4.372219791126101,4.99830369526765,7.773912075843707,57,0.0,10.0,46,0.137,0.656,0.0,0
