household_id,age,PNUM,sex,pemploy,pstudent,ptype,educ,soc2,is_student,school_segment,is_worker,is_internal_worker,is_external_worker,home_zone_id,time_factor_work,time_factor_nonwork,naics_code,occupation,work_from_home,is_out_of_home_worker,external_workplace_zone_id,external_workplace_location_logsum,external_workplace_modechoice_logsum,school_zone_id,school_location_logsum,school_modechoice_logsum,distance_to_school,roundtrip_auto_time_to_school,workplace_zone_id,workplace_location_logsum,workplace_modechoice_logsum,distance_to_work,work_zone_area_type,auto_time_home_to_work,roundtrip_auto_time_to_work,work_auto_savings,exp_daily_work,non_toll_time_work,toll_time_work,toll_dist_work,toll_cost_work,toll_travel_time_savings_work,transit_pass_subsidy,transit_pass_ownership,free_parking_at_work,telecommute_frequency,cdap_activity,travel_active,mandatory_tour_frequency,num_mand,num_work_tours,num_joint_tours,non_mandatory_tour_frequency,num_non_mand,num_escort_tours,num_eatout_tours,num_shop_tours,num_maint_tours,num_discr_tours,num_social_tours,num_add_shop_maint_tours,num_add_soc_discr_tours,person_id,miltary,grade,weeks,hours,race,hispanic
1,64.0,1.0,2,2,3,2,13,21.0,False,0,True,True,False,57,0.4073621165063801,0.6489025109188188,81,mngt_busi_scic_arts,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,12315,10.287693765445928,-2.6006181120496836,20.808048,3.0,43.36345,88.36862,0.0,0.0,46.011288,43.21975,0.0,0.0,2.7915382,0,0,False,No_Telecommute,M,True,work1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,9,2
1,29.0,2.0,1,1,3,1,13,41.0,False,0,True,True,False,57,0.27976889333034793,0.6126540501183355,44,sales_office,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,12781,12.574539556444154,-2.1905715790088505,22.202618,3.0,53.81244,106.33489,0.0,0.0,53.81244,53.81244,0.0,0.0,0.0,0,0,False,No_Telecommute,N,True,null,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,1,40,9,2
1,62.0,3.0,2,3,3,4,13,0.0,False,0,False,False,False,57,0.4121134583604019,1.453034443388308,0,null,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,N,True,null,0,0,0,41,2,0,1,1,0,0,0,0,0,3,0,0,0,0,9,2
2,56.0,1.0,1,1,3,1,13,53.0,False,0,True,True,False,57,0.7591760399151327,0.3164268551393161,48,prod_trans_move,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,13275,11.420360562345465,-5.18765105148888,30.704983,3.0,54.89027,110.07038,0.0,0.0,57.53811,54.74657,0.0,0.0,2.7915382,0,0,False,2_3_days_week,M,True,work1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,40,1,2
3,60.0,1.0,2,3,3,4,13,53.0,False,0,False,False,False,57,1.4373246724372246,1.2818854268144668,42,prod_trans_move,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,null,N,True,null,0,0,0,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,1,1
3,58.0,2.0,1,1,3,1,13,13.0,False,0,True,True,False,57,0.9364487583287426,0.5082236011051029,51,mngt_busi_scic_arts,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,12804,11.279953277720981,-5.577296484934457,25.352236,3.0,51.410957,104.38684,0.0,0.0,54.058796,51.267258,0.0,0.0,2.7915382,0,0,False,No_Telecommute,N,True,null,0,0,0,3,1,0,0,0,0,0,1,0,0,6,0,0,1,45,1,1
3,25.0,3.0,1,3,2,3,13,35.0,True,4,False,False,False,57,0.13450955229704895,2.528845165506757,722,services,False,False,-1,-9.0,-9.0,23114,7.522795700604866,-0.0244193123261361,6.5141535,24.551418,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,M,True,school1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,3,32,1,1
4,62.0,1.0,1,3,3,4,13,23.0,False,0,False,False,False,57,3.1658684450055365,0.8174525963283321,54,mngt_busi_scic_arts,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,N,True,null,0,0,0,18,2,0,1,0,1,0,0,0,0,8,0,0,0,0,1,2
5,31.0,1.0,1,3,3,4,13,41.0,False,0,False,False,False,57,1.5494617761962988,1.6932408654347932,44,sales_office,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,N,True,null,0,0,0,2,6,4,0,0,0,2,0,0,1,9,0,0,0,0,1,1
5,30.0,2.0,2,3,3,4,13,0.0,False,0,False,False,False,57,0.33494122464906156,0.44926505445671766,0,null,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,N,True,null,0,0,0,12,3,2,0,0,1,0,0,0,0,10,0,0,0,0,1,1
5,7.0,3.0,2,4,1,7,0,0.0,True,2,False,False,False,57,0.6215653480134297,0.5802360926558261,0,null,False,False,-1,-9.0,-9.0,4962,8.042405398552102,7.668112419457957,0.27698627,2.0038328,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,M,True,school1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,1
5,4.0,4.0,1,4,1,8,0,0.0,True,1,False,False,False,57,2.038295606813494,1.3849880175599512,0,null,False,False,-1,-9.0,-9.0,7925,9.160711367657555,5.90193002354384,0.4745568,3.5369382,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,M,True,school1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,1
5,4.0,5.0,2,4,1,8,0,0.0,True,1,False,False,False,57,0.6327615576648367,0.4368053482191077,0,null,False,False,-1,-9.0,-9.0,469,9.44561374237313,7.524407186249006,0.12525651,0.7514882,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,M,True,school2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,1
5,2.0,6.0,1,4,1,8,0,0.0,True,1,False,False,False,57,0.9146900851374901,0.6814239348671514,0,null,False,False,-1,-9.0,-9.0,11195,9.193948077294596,6.779980447149545,0.6835275,4.8221464,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,H,False,null,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,1
