tour_id,person_id,tour_type,tour_type_count,tour_type_num,tour_num,tour_count,tour_category,number_of_participants,destination,origin,household_id,start,end,duration,school_esc_outbound,school_esc_inbound,num_escortees,tdd,composition,is_external_tour,is_internal_tour,destination_logsum,vehicle_occup_1,vehicle_occup_2,vehicle_occup_3_5,tour_mode,mode_choice_logsum,selected_vehicle,atwork_subtour_frequency,parent_tour_id,stop_frequency,primary_purpose
98,1,work,1,1,1,1,mandatory,1,12315.0,57.0,1,7.0,27.0,20.0,null,null,-9.0,293.0,null,null,null,-9.0,Pickup_3_Gas,Van_7_Gas,Van_7_Gas,DRIVEALONE,-2.786522470603503,Pickup_3_Gas,no_subtours,-9.0,0out_0in,work
125,2,othdiscr,1,1,1,1,non_mandatory,1,57.0,57.0,1,15.0,16.0,1.0,null,null,-9.0,582.0,null,False,True,15.17984725611133,Pickup_3_Gas,Pickup_3_Gas,Pickup_3_Gas,WALK,2.48520940784283,null,null,-9.0,0out_0in,othdiscr
156,3,eatout,1,1,2,2,non_mandatory,1,1399.0,57.0,1,18.0,19.0,1.0,null,null,-9.0,681.0,null,False,True,14.230150730940315,Van_7_Gas,Van_7_Gas,Van_7_Gas,WALK,0.7778461821515025,null,null,-9.0,0out_0in,eatout
191,3,shopping,1,1,1,2,non_mandatory,1,1794.0,57.0,1,11.0,12.0,1.0,null,null,-9.0,436.0,null,False,True,10.33382675187823,Pickup_3_Gas,Van_7_Gas,Van_7_Gas,WALK,-1.14753196128925,null,null,-9.0,0out_0in,shopping
204,4,eat,1,1,1,1,atwork,1,13280.0,13275.0,2,19.0,21.0,2.0,null,null,-9.0,713.0,null,null,null,7.571119080415254,null,null,null,DRIVEALONE,0.34808008848602756,Car_9_Gas,null,248.0,0out_1in,atwork
248,4,work,1,1,1,1,mandatory,1,13275.0,57.0,2,4.0,30.0,26.0,null,null,-9.0,167.0,null,null,null,-9.0,Car_9_Gas,Car_9_Gas,Car_9_Gas,DRIVEALONE,-5.139885160199156,Car_9_Gas,eat,-9.0,1out_0in,work
275,5,othdiscr,1,1,1,1,non_mandatory,1,469.0,57.0,3,17.0,18.0,1.0,null,null,-9.0,649.0,null,False,True,14.913690705263997,Car_1_Gas,Car_1_Hybrid,Car_1_Gas,WALK,0.8309825621521331,null,null,-9.0,0out_0in,othdiscr
345,6,social,1,1,1,1,non_mandatory,1,2566.0,57.0,3,37.0,39.0,2.0,null,null,-9.0,1100.0,null,False,True,14.337605302261938,Car_1_Gas,Car_1_Gas,Car_1_Gas,WALK,0.35010296066221247,null,null,-9.0,0out_0in,social
383,7,school,1,1,1,1,mandatory,1,23114.0,57.0,3,14.0,34.0,20.0,null,null,-9.0,566.0,null,null,null,-9.0,Car_1_Hybrid,Car_1_Hybrid,Car_1_Hybrid,TNC_SINGLE,-5.059094042858355,null,null,-9.0,3out_0in,univ
406,8,eatout,1,1,2,2,non_mandatory,1,6631.0,57.0,4,30.0,34.0,4.0,null,null,-9.0,990.0,null,False,True,13.004965012148144,SUV_7_Gas,SUV_7_Gas,SUV_7_Gas,WALK,1.7024167111449748,null,null,-9.0,0out_0in,eatout
