MAZ,taz
80,1609
126,1558
261,2164
286,1559
297,2257
403,1624
421,1864
627,2258
705,2396
845,1786
889,2335
1064,2232
1088,1560
1314,2396
1633,2398
1780,2335
1913,2143
1973,1632
2002,1624
2594,2332
2699,1699
3126,2379
3315,2143
3475,1864
3502,1632
3686,1560
3708,2588
4245,2526
4246,2526
4247,2526
4255,1934
4287,2332
4288,2322
4650,2016
4651,1789
4660,2261
4662,2016
4663,2062
4664,2084
4665,2084
4666,1988
4667,1801
4668,1801
4669,1995
4698,2587
4725,2220
4726,2220
4727,2164
4728,2164
4729,2232
4730,2246
4731,2246
4732,2258
4733,2362
4734,1699
4735,1606
4736,1538
4737,1538
4863,1560
4948,1558
4975,1959
4997,2526
5087,1606
5141,1559
5205,2587
5208,2437
5267,2062
5270,1553
5340,1915
5429,2396
5448,2246
5482,2164
5507,2047
5513,2379
5540,2593
5590,1889
5634,2128
5692,2258
5719,1789
5730,1840
5749,1915
5768,1632
5794,2587
5796,2051
5810,2083
5831,2261
5841,1559
5845,2436
5888,1915
5891,2016
5957,1567
5960,1624
5961,1739
6013,2335
6041,1989
6084,2083
6100,1538
6111,2269
6123,1993
6153,2143
6170,2220
6189,2379
6201,1995
6246,2342
6326,2173
6348,2461
6352,1861
6360,1632
6431,2437
6446,1989
6464,1915
6471,1632
6478,2398
6479,2362
6690,1553
6700,1567
6781,2335
6926,1991
6963,2588
6964,2588
7011,1645
7025,1609
7055,2429
7089,1560
7103,2046
7155,1538
7215,1560
7232,1975
7256,2246
7258,2220
7317,2241
7318,2315
7322,2220
7324,1786
7339,2226
7344,2016
7356,2143
7409,1558
7447,2062
7458,2220
7464,1698
7488,2461
7490,2420
7491,2084
7507,2257
7551,2072
7563,2379
7569,2016
7593,1915
7630,1789
7661,1699
7667,2143
7690,2362
7704,1645
7731,1787
7759,1801
7785,1699
7802,2587
7805,1855
7843,1558
7874,1787
7887,2269
7903,1558
7919,1609
7924,1787
7937,1739
7954,2362
7986,1632
7988,2261
7997,2396
8035,1974
8083,2143
8100,2232
8106,1787
8146,2226
8157,1975
8165,1560
8190,1645
8193,1959
8198,2379
8212,2047
8272,2167
8311,2428
8349,2436
8350,1988
8363,1609
8404,1789
8438,2046
8462,1560
8495,1975
8498,2261
8541,1995
8545,2272
8583,1789
8584,1915
8606,1559
8632,2314
8658,2587
8686,1558
8722,2143
8725,2461
8732,2261
8766,2045
8785,1632
8798,2335
8809,1855
8823,2161
8830,2481
8833,2164
8857,2594
8924,1803
9001,2342
9089,2317
9090,2164
9091,2176
9092,2176
10883,2526
10884,2526
10885,2526
10886,2526
10902,1756
10903,1840
10904,1889
10905,1993
11051,2173
11052,2322
11828,2594
11829,2594
13136,2045
13137,2016
13138,2045
13139,1864
13141,1739
13142,1915
13143,1915
13144,1698
13145,1698
13146,1698
13147,1789
13148,1789
13149,1855
13150,1789
13151,1959
13152,1959
13153,1959
13154,1609
13155,1567
13190,1787
13191,1645
13192,1645
13193,1624
13194,1624
13195,1567
13196,1567
13197,1645
13203,2335
13204,2272
13205,2314
13206,2314
13207,2272
13208,2272
13209,2272
13210,2272
13211,2272
13212,2261
13213,2261
13214,2261
13215,2314
13216,2314
13217,2261
13218,2429
13219,2379
13220,2379
13222,2461
13223,2379
13224,2379
13225,2379
13226,2396
13227,2396
13228,2396
13229,2396
13234,2514
13235,2514
13236,2461
13237,2461
13238,2461
13239,2461
13240,2429
13241,2588
13255,2226
13256,2226
13257,2226
13258,2226
13259,1934
13260,1974
13261,2044
13262,1974
13263,2047
13264,1974
13265,2047
13266,2047
13267,2047
13268,2072
13269,2072
13270,2072
13271,2072
13272,2072
13273,2072
13274,2072
13275,1993
13276,1993
13277,2062
13278,2062
13279,2051
13280,2051
13281,2051
13282,2051
13283,2051
13284,1989
13285,1989
13286,1989
13287,1989
13288,1989
13289,1989
13290,2083
13291,2083
13292,2083
13293,2083
13294,2140
13295,2140
13296,2146
13297,2146
13298,2161
13299,2161
13300,1991
13301,1991
13302,1991
13303,2084
13304,1840
13305,1840
13306,1840
13307,1840
13308,1861
13309,1861
13310,1861
13311,1756
13312,2092
13313,2190
13314,2190
13315,2167
13316,1988
13317,1988
13318,1801
13319,1995
13320,1995
13321,1801
13322,1801
13323,1803
13324,1649
13325,1803
13326,1675
13327,1649
13437,2588
13440,2526
13441,2587
13442,2587
13443,2587
13444,2587
13597,2127
13598,2127
13599,2143
13600,2220
13601,2220
13602,2220
13603,2143
13604,2143
13605,2232
13606,2428
13607,2360
13608,2360
13609,2428
13610,2437
13611,2481
13612,2481
13613,2594
13614,2436
13615,2436
13616,2436
13617,2246
13618,2257
13619,2257
13620,2257
13621,2258
13622,2315
13623,2258
13624,2269
13625,2269
13626,2364
13627,2315
13628,2364
13629,2420
13630,2420
13631,2420
13632,2420
13633,1699
13634,1699
13635,1699
13636,1699
13637,1699
13638,1632
13639,1632
13640,1538
13641,1538
13642,1538
13643,1538
13660,1558
13661,1558
13664,1559
13669,1559
13921,1560
13922,1560
13923,1560
14309,1560
14310,1560
24125,2241
24126,2241
24290,2588
24291,2594
24292,2594
