MAZ,taz
2,1797
12,1629
16,2129
17,2169
18,1527
19,1601
20,2201
25,1733
28,2099
36,1901
40,1571
46,1136
49,1941
55,1870
56,2024
73,1505
81,1897
83,1785
85,1816
86,1932
92,774
93,1621
94,1658
98,1425
99,1937
102,1755
113,1179
130,1448
131,1963
132,1837
133,2002
135,1654
139,1700
143,1582
157,2169
159,1818
162,1876
186,1702
192,1355
195,1505
202,2251
204,1807
213,1630
214,2074
215,2204
225,680
228,941
232,1860
233,1760
238,1605
240,1835
241,2204
242,2251
247,1572
254,1508
263,1668
283,990
288,1815
290,1835
291,1639
292,1854
295,1571
300,1710
301,1700
306,1700
307,1453
314,1499
336,2202
342,1863
353,1505
354,1620
360,1527
366,1505
367,1240
371,1602
376,1431
377,2082
381,2186
384,1453
387,1835
388,1076
394,2169
396,1282
397,1290
406,1149
407,1896
423,729
430,2013
436,1843
437,1875
440,866
444,1102
458,2228
459,1290
463,1310
465,1835
479,1572
490,1633
493,1863
496,1361
498,1499
506,1741
512,2202
513,699
516,1016
519,1774
520,1835
521,1355
526,1572
533,1572
534,1282
535,2013
537,1571
543,1945
544,1716
551,1977
552,1257
554,2169
556,2204
559,1779
560,1769
564,1845
572,1361
574,1837
584,2042
586,1601
590,1016
591,1499
602,1282
603,1836
604,1928
610,1551
612,962
615,1685
616,2201
621,916
622,2210
632,526
635,2020
645,926
650,1882
651,2110
658,679
666,2077
674,900
678,2202
699,1572
702,1571
704,1572
707,1891
708,1631
712,1925
720,2013
722,1312
729,1349
733,1918
738,1571
741,2080
747,1898
750,1837
751,1725
757,1076
760,1837
763,1779
767,2074
774,570
775,1785
778,1382
786,1831
792,1750
795,1967
796,1779
797,878
806,1857
809,1895
813,2023
819,1527
855,983
860,1571
862,1212
866,2017
872,1984
879,1136
887,1470
891,1835
894,2144
896,1582
898,1807
899,1943
900,825
915,1403
917,1425
922,1455
927,1180
932,1635
933,1853
938,2129
940,1856
942,2169
961,1807
962,1823
963,729
964,1391
967,1700
978,1527
981,1838
982,1973
984,1942
990,570
991,1776
998,889
1003,1818
1007,2202
1009,1431
1011,823
1013,1769
1015,1939
1016,1673
1017,2035
1024,1159
1029,2169
1038,1836
1040,1425
1041,1831
1043,1076
1045,1527
1048,2252
1050,1982
1054,1834
1056,2003
1062,1838
1066,1312
1076,1159
1078,878
1079,983
1084,1620
